1670534342.193914,10.10.1.100:37822,9,9,40,
1670534342.195321,10.10.1.100:37820,8,8,32,
1670534342.275097,10.10.1.100:37824,10,10,33,
1670534342.276613,10.10.1.100:37822,9,9,40,
1670534342.278393,10.10.1.100:37820,12,12,28,
1670534342.399768,10.10.1.100:37824,13,13,30,
1670534342.402468,10.10.1.100:37822,13,13,36,
1670534342.404896,10.10.1.100:37820,12,12,28,
1670534342.541735,10.10.1.100:37824,16,16,27,
1670534342.544300,10.10.1.100:37822,17,17,31,
1670534342.546474,10.10.1.100:37820,16,16,24,
1670534342.646408,10.10.1.100:37824,19,19,24,
1670534342.647882,10.10.1.100:37822,21,21,27,
1670534342.649237,10.10.1.100:37820,21,22,21,
1670534342.729513,10.10.1.100:37824,21,22,25,
1670534342.731043,10.10.1.100:37822,22,23,27,
1670534342.732438,10.10.1.100:37820,21,22,21,
1670534342.812212,10.10.1.100:37824,20,22,27,
1670534342.813649,10.10.1.100:37822,20,23,30,
1670534342.815086,10.10.1.100:37820,19,22,23,
1670534342.905717,10.10.1.100:37824,18,22,29,
1670534342.908521,10.10.1.100:37822,18,23,34,
1670534342.911030,10.10.1.100:37820,18,22,24,
1670534343.054151,10.10.1.100:37824,15,22,32,
1670534343.056736,10.10.1.100:37822,16,23,36,
1670534343.059147,10.10.1.100:37820,14,22,28,
1670534343.155804,10.10.1.100:37824,11,22,36,
1670534343.157342,10.10.1.100:37822,12,23,40,
1670534343.158686,10.10.1.100:37820,10,22,32,
1670534343.239192,10.10.1.100:37824,9,22,38,
1670534343.240630,10.10.1.100:37822,10,23,42,
1670534343.242018,10.10.1.100:37820,7,22,35,
1670534343.321571,10.10.1.100:37824,7,22,40,
1670534343.322906,10.10.1.100:37822,6,23,46,
1670534343.324043,10.10.1.100:37820,6,22,36,
1670534343.402794,10.10.1.100:37824,4,22,43,
1670534343.404280,10.10.1.100:37822,6,23,46,
1670534343.405628,10.10.1.100:37820,2,22,40,
1670534343.485856,10.10.1.100:37824,3,22,44,
1670534343.487368,10.10.1.100:37822,1,23,51,
1670534343.488712,10.10.1.100:37820,1,22,12,
1670534343.567815,10.10.1.100:37824,1,23,44,
1670534343.568453,10.10.1.100:37822,0,23,16,
1670534343.568563,10.10.1.100:37820,1,22,12,
1670534343.676981,10.10.1.100:37824,3,25,42,
1670534343.678610,10.10.1.100:37822,5,28,46,
1670534343.680180,10.10.1.100:37820,0,22,12,
1670534343.763969,10.10.1.100:37824,6,28,39,
1670534343.765414,10.10.1.100:37822,7,30,44,
1670534343.766904,10.10.1.100:37820,0,22,12,
1670534343.846185,10.10.1.100:37824,8,30,37,
1670534343.848055,10.10.1.100:37822,9,32,42,
1670534343.849387,10.10.1.100:37820,0,22,12,
1670534343.928322,10.10.1.100:37824,9,31,36,
1670534343.929824,10.10.1.100:37822,11,34,40,
1670534343.931208,10.10.1.100:37820,0,22,12,
1670534344.010654,10.10.1.100:37824,9,31,36,
1670534344.012146,10.10.1.100:37822,13,36,38,
1670534344.013500,10.10.1.100:37820,0,22,12,
1670534344.093035,10.10.1.100:37824,11,33,34,
1670534344.094525,10.10.1.100:37822,13,36,38,
1670534344.095909,10.10.1.100:37820,3,25,12,
1670534344.176086,10.10.1.100:37824,14,36,27,
1670534344.177547,10.10.1.100:37822,17,40,34,
1670534344.178994,10.10.1.100:37820,3,25,12,
1670534344.259244,10.10.1.100:37824,16,38,22,
1670534344.260702,10.10.1.100:37822,17,40,34,
1670534344.262062,10.10.1.100:37820,11,33,12,
1670534344.341222,10.10.1.100:37824,16,38,22,
1670534344.342703,10.10.1.100:37822,22,45,29,
1670534344.344111,10.10.1.100:37820,11,33,12,
1670534344.434757,10.10.1.100:37824,15,40,16,
1670534344.437374,10.10.1.100:37822,20,45,16,
1670534344.439767,10.10.1.100:37820,11,33,12,
1670534344.581139,10.10.1.100:37824,15,44,16,
1670534344.583746,10.10.1.100:37822,15,45,13,
1670534344.586075,10.10.1.100:37820,11,33,12,
1670534344.670356,10.10.1.100:37824,13,44,13,
1670534344.671889,10.10.1.100:37822,11,46,14,
1670534344.673230,10.10.1.100:37820,11,33,12,
1670534344.753334,10.10.1.100:37824,15,48,16,
1670534344.754808,10.10.1.100:37822,10,46,15,
1670534344.756191,10.10.1.100:37820,12,37,12,
1670534344.886947,10.10.1.100:37824,12,48,16,
1670534344.889548,10.10.1.100:37822,6,46,16,
1670534344.892087,10.10.1.100:37820,12,38,12,
1670534345.007181,10.10.1.100:37824,10,48,13,
1670534345.008653,10.10.1.100:37822,3,46,14,
1670534345.010099,10.10.1.100:37820,8,41,12,
1670534345.089621,10.10.1.100:37824,6,48,16,
1670534345.091176,10.10.1.100:37822,1,46,16,
1670534345.092554,10.10.1.100:37820,8,41,12,
1670534345.171883,10.10.1.100:37824,3,48,12,
1670534345.173359,10.10.1.100:37822,0,46,14,
1670534345.174753,10.10.1.100:37820,8,41,12,
1670534345.254299,10.10.1.100:37824,0,48,16,
1670534345.255868,10.10.1.100:37822,0,46,14,
1670534345.257221,10.10.1.100:37820,4,41,12,
1670534345.336573,10.10.1.100:37824,0,48,16,
1670534345.338017,10.10.1.100:37822,0,46,16,
1670534345.339417,10.10.1.100:37820,4,41,12,
1670534345.419525,10.10.1.100:37824,0,48,16,
1670534345.420981,10.10.1.100:37822,0,46,16,
1670534345.422407,10.10.1.100:37820,0,41,12,
1670534345.502950,10.10.1.100:37824,0,48,16,
1670534345.504438,10.10.1.100:37822,0,46,14,
1670534345.505831,10.10.1.100:37820,0,41,12,
1670534345.622009,10.10.1.100:37824,0,48,14,
1670534345.624708,10.10.1.100:37822,0,46,16,
1670534345.627163,10.10.1.100:37820,0,41,12,
1670534345.769673,10.10.1.100:37824,0,48,12,
1670534345.772191,10.10.1.100:37822,0,46,12,
1670534345.774395,10.10.1.100:37820,0,41,12,
1670534345.882992,10.10.1.100:37824,0,48,16,
1670534345.884428,10.10.1.100:37822,0,46,16,
1670534345.885844,10.10.1.100:37820,0,41,12,
1670534345.965049,10.10.1.100:37824,0,48,16,
1670534345.966554,10.10.1.100:37822,0,46,16,
1670534345.967969,10.10.1.100:37820,0,41,12,
1670534346.048201,10.10.1.100:37824,0,48,16,
1670534346.049668,10.10.1.100:37822,0,46,15,
1670534346.051062,10.10.1.100:37820,0,41,12,
1670534346.130407,10.10.1.100:37824,0,48,14,
1670534346.131917,10.10.1.100:37822,0,46,16,
1670534346.133271,10.10.1.100:37820,0,41,12,
1670534346.255625,10.10.1.100:37824,0,48,14,
